package,module,phase,milliseconds,megabytes
lens-4.17.1,Control.Lens.TH,CodeGen,304.26,540.5540000000001
lens-4.17.1,Control.Lens.TH,CorePrep,13.809999999999999,24.846
lens-4.17.1,Control.Lens.TH,CoreTidy,8.67,11.64
lens-4.17.1,Control.Lens.TH,Desugar,8.59,11.711
lens-4.17.1,Control.Lens.TH,Parser,5.6,20.882
lens-4.17.1,Control.Lens.TH,Simplifier,858.3300000000002,1100.651
lens-4.17.1,Control.Lens.TH,SpecConstr,6.3,11.907
lens-4.17.1,Control.Lens.TH,Specialise,4.25,7.721
lens-4.17.1,Control.Lens.Traversal,CodeGen,260.57,407.461
lens-4.17.1,Control.Lens.Traversal,CorePrep,13.280000000000001,18.673000000000002
lens-4.17.1,Control.Lens.Traversal,CoreTidy,9.67,10.384
lens-4.17.1,Control.Lens.Traversal,Desugar,45.25,72.895
lens-4.17.1,Control.Lens.Traversal,Parser,11.98,42.034
lens-4.17.1,Control.Lens.Traversal,Simplifier,694.55,832.6270000000001
lens-4.17.1,Control.Lens.Traversal,SpecConstr,3.02,4.947
lens-4.17.1,Control.Lens.Traversal,Specialise,3.91,6.35
lens-4.17.1,Control.Lens.Tuple,CodeGen,834.3599999999999,1409.275
lens-4.17.1,Control.Lens.Tuple,CorePrep,131.03,219.92700000000002
lens-4.17.1,Control.Lens.Tuple,CoreTidy,152.18,185.471
lens-4.17.1,Control.Lens.Tuple,Desugar,330.41,582.373
lens-4.17.1,Control.Lens.Tuple,Parser,47.17,118.222
lens-4.17.1,Control.Lens.Tuple,Simplifier,3860.5699999999997,4785.411999999999
lens-4.17.1,Control.Lens.Tuple,SpecConstr,52.51,65.7
lens-4.17.1,Control.Lens.Tuple,Specialise,29.92,52.767
lens-4.17.1,Control.Lens.Type,CodeGen,1.37,0.552
lens-4.17.1,Control.Lens.Type,CorePrep,0.39,0.124
lens-4.17.1,Control.Lens.Type,CoreTidy,0.21,0.105
